,Age,Geo,Gender,Language_Spoken,Language_Used,HH_Structure,Education,Occupation,HH_Income,Personal_Income,Ethnic_Background 
12508,55-59,Ontario,Female,English,English,Adult With Children Living At Home,High School Graduation Certificate,Professionals,"$100,000-$124,999","$25,000-$34,999","South Asian (East Indian, Pakistani)"
12509,55-59,Alberta,Male,English,English,Couple - No Children Living At Home,High School Graduation Certificate,Senior Managers/Owners,"$75,000-$99,999","$75,000-$99,999",White
12510,65-69,Quebec,Female,English,English,Adult With Children Living At Home,High School Graduation Certificate,Unskilled,"Under $25,000","$100,000-$124,999",White
12511,30-34,Alberta,Female,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Technical/Sales/Teaching/Other White Collar,"$50,000-$59,999","$40,000-$49,999",White
12512,40-44,Alberta,Female,English,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Technical/Sales/Teaching/Other White Collar,"$40,000-$49,999","$75,000-$99,999",White
12513,35-39,Alberta,Male,English,French,Couple With Children Living at Home,Trade Certificate/Diploma,Other Managers,"Under $25,000","$75,000-$99,999",Other
12514,45-49,Quebec,Female,Indian-Hindi,English,Adult With Children Living At Home,High School Graduation Certificate,Professionals,"$200,000 Or Over","Under $25,000",White
12515,22-24,Ontario,Male,French,English,Adult With Children Living At Home,"""Bachelors Degrees""",Unskilled,"$150,000-$199,999","$50,000-$59,999",Arab
12516,70+,Ontario,Female,French,English,Couple With Children Living at Home,Trade Certificate/Diploma,Senior Managers/Owners,"$75,000-$99,999","$25,000-$34,999",White
12517,25-29,Quebec,Female,English,French,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Other,"$100,000-$124,999","Under $25,000",White
12518,70+,Alberta,Male,French,English,Adult With Children Living At Home,Elementary School Graduation Cert,Other,"$100,000-$124,999","$35,000-$39,999",White
12519,70+,British Columbia,Female,English,English,Adult Sharing Accommodation,"""Masters Degrees""",Other,"$75,000-$99,999","$75,000-$99,999",White
12520,30-34,Ontario,Male,Indian-Hindi,English,Couple - No Children Living At Home,Elementary School Graduation Cert,Other,"$60,000-$74,999","$60,000-$74,999",White
12521,35-39,Quebec,Female,English,English,Couple With Children Living at Home,High School Graduation Certificate,Professionals,"$125,000-$149,999","$35,000-$39,999",Filipino
12522,25-29,Ontario,Male,English,Spanish,Couple With Children Living at Home,"""Bachelors Degrees""",Skilled,"Under $25,000","Under $25,000",Other
12523,40-44,British Columbia,Male,English,English,Couple With Children Living at Home,Trade Certificate/Diploma,Senior Managers/Owners,"$100,000-$124,999","$75,000-$99,999",White
12524,35-39,British Columbia,Female,Arabic,English,Other,Elementary School Graduation Cert,Unskilled,"$60,000-$74,999","Under $25,000","East/South Asian (Cambodian, Indonesian)"
12525,65-69,Ontario,Female,English,English,Couple With Children Living at Home,High School Graduation Certificate,Professionals,"$60,000-$74,999","Under $25,000",White
12526,60-64,Ontario,Female,Chinese - Mandarin,French,Adult With Children Living At Home,Univ. Cert./Dipl. Below Bachelor Level,Other,"$100,000-$124,999","$75,000-$99,999",White
12527,18 Years,Ontario,Male,English,English,Couple With Children Living at Home,"""Bachelors Degrees""",Other,"$75,000-$99,999","$60,000-$74,999",White
12528,50-54,Ontario,Male,Greek,French,Adult Sharing Accommodation,High School Graduation Certificate,Other,"$75,000-$99,999","Under $25,000",White
12529,70+,Quebec,Male,English,English,Adult Sharing Accommodation,"Other Certificate/Diploma, Not Univ.",Other Managers,"Under $25,000","$35,000-$39,999",White
12530,50-54,Alberta,Female,English,Other,Other,"""Masters Degrees""",Clerical/Secretarial,"$60,000-$74,999","Under $25,000",White
12531,19 Years,Ontario,Male,English,English,Adult Living Alone,"Other Certificate/Diploma, Not Univ.",Other Managers,"$40,000-$49,999","$150,000-$199,999",White
12532,70+,Ontario,Female,English,French,Couple - No Children Living At Home,High School Graduation Certificate,Professionals,"$100,000-$124,999","$25,000-$34,999",Aboriginal
12533,50-54,British Columbia,Male,Other,French,Empty Nesters,Trade Certificate/Diploma,Technical/Sales/Teaching/Other White Collar,"$150,000-$199,999","Under $25,000",White
12534,40-44,Ontario,Female,English,English,Couple With Children Living at Home,None,Professionals,"$200,000 Or Over","$35,000-$39,999",White
12535,30-34,Manitoba,Female,English,French,Couple With Children Living at Home,High School Graduation Certificate,Other,"Under $25,000","Under $25,000",White
12536,40-44,Ontario,Male,English,English,Couple - No Children Living At Home,"""Bachelors Degrees""",Other,"$125,000-$149,999","$50,000-$59,999",Aboriginal
12537,40-44,Quebec,Female,English,French,Other,Univ. Cert./Dipl. Below Bachelor Level,Other Managers,"$100,000-$124,999","Under $25,000",White
12538,70+,New Brunswick,Male,French,French,Couple - No Children Living At Home,Elementary School Graduation Cert,Other,"$35,000-$39,999","$25,000-$34,999",White
12539,50-54,Quebec,Male,English,Chinese - Mandarin,Couple With Children Living at Home,"""Masters Degrees""",Professionals,"$75,000-$99,999","$60,000-$74,999",Black
12540,70+,Ontario,Male,French,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Professionals,"$40,000-$49,999","$40,000-$49,999",White
12541,35-39,Ontario,Female,French,English,Couple - No Children Living At Home,"""Bachelors Degrees""",Other Managers,"$60,000-$74,999","$40,000-$49,999",Filipino
12542,40-44,Quebec,Female,English,English,Couple With Children Living at Home,"""Masters Degrees""",Other,"$50,000-$59,999","$125,000-$149,999",White
12543,65-69,Saskatchewan,Male,Indian-Hindi,English,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Other,"$150,000-$199,999","Under $25,000",Black
12544,30-34,Ontario,Male,Other,English,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Clerical/Secretarial,"Under $25,000","$40,000-$49,999",White
12545,45-49,British Columbia,Male,English,French,Couple - No Children Living At Home,Elementary School Graduation Cert,Other Managers,"$150,000-$199,999","Under $25,000",Not Stated
12546,45-49,Alberta,Female,English,Indian-Hindi,Couple With Children Living at Home,Elementary School Graduation Cert,Other,"$50,000-$59,999","$25,000-$34,999",Other
12547,40-44,Newfoundland and Labrador,Male,English,Other,Adult With Children Living At Home,Univ. Cert./Dipl. Below Bachelor Level,Technical/Sales/Teaching/Other White Collar,"$125,000-$149,999","$35,000-$39,999",White
12548,35-39,Quebec,Female,English,French,Couple With Children Living at Home,None,Clerical/Secretarial,"$50,000-$59,999","Under $25,000",Not Stated
12549,45-49,Ontario,Male,French,English,Adult With Children Living At Home,High School Graduation Certificate,Other,"$75,000-$99,999","Under $25,000",Not Stated
12550,55-59,Ontario,Male,English,French,Other,Elementary School Graduation Cert,Technical/Sales/Teaching/Other White Collar,"$200,000 Or Over","Under $25,000",White
12551,25-29,Alberta,Female,French,French,Couple With Children Living at Home,Univ. Cert./Dipl. Below Bachelor Level,Other Managers,"$60,000-$74,999",None,White
12552,40-44,Alberta,Male,English,French,Adult Sharing Accommodation,"Other Certificate/Diploma, Not Univ.",Other Managers,"$75,000-$99,999","$60,000-$74,999",White
12553,40-44,Ontario,Male,French,English,Couple With Children Living at Home,"""Masters Degrees""",Other Managers,"$75,000-$99,999","$50,000-$59,999",White
12554,55-59,Quebec,Female,German,English,Empty Nesters,Elementary School Graduation Cert,Unskilled,"$125,000-$149,999","Under $25,000",White
12555,55-59,Saskatchewan,Female,English,English,Adult Living Alone,"Other Certificate/Diploma, Not Univ.",Other Managers,"$125,000-$149,999","$60,000-$74,999",White
12556,25-29,Ontario,Female,English,Indian-Punjabi,Couple With Children Living at Home,"""Bachelors Degrees""",Professionals,"$50,000-$59,999","Under $25,000",White
12557,65-69,Alberta,Male,English,English,Adult Sharing Accommodation,High School Graduation Certificate,Other,"$125,000-$149,999",None,Other
12558,35-39,Quebec,Female,English,English,Adult With Children Living At Home,High School Graduation Certificate,Other,"$75,000-$99,999","$125,000-$149,999",White
12559,60-64,British Columbia,Male,English,French,Couple With Children Living at Home,High School Graduation Certificate,Other,"$200,000 Or Over","$40,000-$49,999",White
12560,22-24,Ontario,Male,English,English,Adult With Children Living At Home,"Other Certificate/Diploma, Not Univ.",Skilled,"Under $25,000","Under $25,000",Aboriginal
12561,70+,Quebec,Female,English,Arabic,Adult With Children Living At Home,Elementary School Graduation Cert,Technical/Sales/Teaching/Other White Collar,"Under $25,000","$125,000-$149,999",White
12562,70+,Ontario,Female,Indian-Hindi,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other,"$75,000-$99,999","Under $25,000",White
12563,55-59,Ontario,Male,English,Indian-Hindi,Adult With Children Living At Home,High School Graduation Certificate,Other,"$60,000-$74,999","$125,000-$149,999",White
12564,50-54,Ontario,Female,English,German,Couple With Children Living at Home,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"$75,000-$99,999","$75,000-$99,999",White
12565,70+,Ontario,Female,English,English,Adult Sharing Accommodation,Univ. Cert./Dipl. Below Bachelor Level,Other Managers,"$50,000-$59,999","$25,000-$34,999",Black
12566,45-49,Ontario,Male,English,French,Adult Living Alone,"Other Certificate/Diploma, Not Univ.",Other,"Under $25,000","$100,000-$124,999",Aboriginal
12567,30-34,Ontario,Male,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other,"$40,000-$49,999","Under $25,000",White
12568,45-49,Alberta,Female,English,French,Couple With Children Living at Home,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"$100,000-$124,999","Under $25,000",White
12569,60-64,British Columbia,Male,English,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"$200,000 Or Over","$50,000-$59,999",White
12570,15-17,Nova Scotia,Male,English,English,Couple With Children Living at Home,None,Senior Managers/Owners,"$25,000-$34,999","Under $25,000","South Asian (East Indian, Pakistani)"
12571,70+,Nova Scotia,Male,English,English,Couple With Children Living at Home,"""Bachelors Degrees""",Other Managers,"$100,000-$124,999","$60,000-$74,999",White
12572,30-34,New Brunswick,Female,English,English,Couple - No Children Living At Home,High School Graduation Certificate,Other,"$50,000-$59,999","$60,000-$74,999",White
12573,45-49,Ontario,Male,French,English,Couple With Children Living at Home,Trade Certificate/Diploma,Other,"$100,000-$124,999","$50,000-$59,999",White
12574,40-44,Quebec,Male,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Senior Managers/Owners,"Under $25,000","$75,000-$99,999",White
12575,35-39,Ontario,Female,Italian,Chinese-Other,Couple With Children Living at Home,High School Graduation Certificate,Other Managers,"Under $25,000","Under $25,000",White
12576,35-39,Ontario,Male,French,English,Empty Nesters,"Other Certificate/Diploma, Not Univ.",Skilled,"$100,000-$124,999","$75,000-$99,999",White
12577,45-49,Quebec,Male,English,English,Couple With Children Living at Home,Trade Certificate/Diploma,Other Managers,"$50,000-$59,999","$60,000-$74,999","South Asian (East Indian, Pakistani)"
12578,15-17,Ontario,Male,English,French,Couple With Children Living at Home,Trade Certificate/Diploma,Other,"$60,000-$74,999","Under $25,000",Black
12579,65-69,Quebec,Female,German,English,Adult Sharing Accommodation,Trade Certificate/Diploma,Other,"$100,000-$124,999","Under $25,000",White
12580,18 Years,Quebec,Male,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other Managers,"$50,000-$59,999","$60,000-$74,999",White
12581,45-49,Quebec,Male,Indian-Hindi,English,Adult Living Alone,Elementary School Graduation Cert,Clerical/Secretarial,"$125,000-$149,999","$40,000-$49,999",White
12582,60-64,Ontario,Male,English,English,Couple With Children Living at Home,"""Bachelors Degrees""",Technical/Sales/Teaching/Other White Collar,"$40,000-$49,999","Under $25,000",Not Stated
12583,30-34,Ontario,Female,French,English,Empty Nesters,"""Bachelors Degrees""",Other Managers,"$25,000-$34,999","$50,000-$59,999",White
12584,65-69,British Columbia,Male,English,Other,Couple With Children Living at Home,"""Masters Degrees""",Clerical/Secretarial,"$100,000-$124,999","Under $25,000",White
12585,15-17,British Columbia,Male,English,English,Couple With Children Living at Home,High School Graduation Certificate,Unskilled,"$25,000-$34,999","$50,000-$59,999",Not Stated
12586,45-49,Ontario,Female,French,English,Adult With Children Living At Home,"""Bachelors Degrees""",Clerical/Secretarial,"$35,000-$39,999",None,Filipino
12587,25-29,Ontario,Male,French,Other,Couple With Children Living at Home,None,Clerical/Secretarial,"$150,000-$199,999","Under $25,000",Japanese
12588,45-49,Quebec,Female,Polish,English,Adult Living Alone,"""Masters Degrees""",Other,"$50,000-$59,999","$60,000-$74,999",Other
12589,55-59,Quebec,Female,French,English,Couple - No Children Living At Home,"""Bachelors Degrees""",Skilled,"$25,000-$34,999","$25,000-$34,999",White
12590,70+,Alberta,Female,English,English,Couple - No Children Living At Home,High School Graduation Certificate,Professionals,"$40,000-$49,999","$40,000-$49,999",White
12591,35-39,Quebec,Female,English,English,Empty Nesters,"""Bachelors Degrees""",Other,"$75,000-$99,999","Under $25,000",White
12592,40-44,British Columbia,Male,English,English,Empty Nesters,Elementary School Graduation Cert,Other,"$60,000-$74,999","$25,000-$34,999",White
12593,60-64,Quebec,Male,English,French,Couple - No Children Living At Home,High School Graduation Certificate,Other,"$200,000 Or Over","Under $25,000",White
12594,65-69,British Columbia,Female,English,English,Empty Nesters,"""Bachelors Degrees""",Other,"$60,000-$74,999","$40,000-$49,999",Other
12595,45-49,British Columbia,Female,English,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Other,"$125,000-$149,999","$25,000-$34,999",White
